, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type" 
"""American Indian, Alaska Native, or Indigenous""",0,0,0,0,0
"""Asian or Asian American""",0,0,0,0,0
"""Black, African American, or African""",10,6,4,0,0
"""Hispanic/Latina/e/o""",0,0,0,0,0
"""Middle Eastern or North African""",0,0,0,0,0
"""Native Hawaiian or Pacific Islander""",0,0,0,0,0
"""White""",28,11,17,0,0
"""Asian or Asian American & American Indian, Alaska Native, or Indigenous""",0,0,0,0,0
"""Black, African American, or African & American Indian, Alaska Native, or Indigenous""",4,0,4,0,0
"""Hispanic/Latina/e/o & American Indian, Alaska Native, or Indigenous""",0,0,0,0,0
"""Middle Eastern or North African & American Indian, Alaska Native, or Indigenous""",0,0,0,0,0
"""Native Hawaiian or Pacific Islander & American Indian, Alaska Native, or Indigenous""",0,0,0,0,0
"""White & American Indian, Alaska Native, or Indigenous""",0,0,0,0,0
"""Black, African American, or African & Asian or Asian American""",0,0,0,0,0
"""Hispanic/Latina/e/o & Asian or Asian American""",0,0,0,0,0
"""Middle Eastern or North African & Asian or Asian American""",0,0,0,0,0
"""Native Hawaiian or Pacific Islander & Asian or Asian American""",0,0,0,0,0
"""White & Asian or Asian American""",0,0,0,0,0
"""Hispanic/Latina/e/o & Black, African American, or African""",0,0,0,0,0
"""Middle Eastern or North African & Black, African American, or African""",0,0,0,0,0
"""Native Hawaiian or Pacific Islander & Black, African American, or African""",0,0,0,0,0
"""White & Black, African American, or African""",4,0,4,0,0
"""Middle Eastern or North African & Hispanic/Latina/e/o""",0,0,0,0,0
"""Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o""",0,0,0,0,0
"""White & Hispanic/Latina/e/o""",0,0,0,0,0
"""Native Hawaiian or Pacific Islander & Middle Eastern or North African""",0,0,0,0,0
"""White & Middle Eastern or North African""",0,0,0,0,0
"""White & Native Hawaiian or Pacific Islander""",0,0,0,0,0
"""Multiracial - more than 2 races/ethnicity, with one being Hispanic/Latina/e/o""",0,0,0,0,0
"""Multiracial - more than 2 races, where no option is Hispanic/Latina/e/o""",0,0,0,0,0
"""Client Doesn't Know/Prefers Not to Answer""",0,0,0,0,0
"""Data Not Collected""",0,0,0,0,0
"""Total""",46,17,29,0,0
