 "Number of Adults by Income Category" , "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)" 
"""Adults with Only Earned Income (i.e., Employment Income)""",5,3,1
"""Adults with Only Other Income""",14,11,2
"""Adults with Both Earned and Other Income""",2,2,0
"""Adults with No Income""",9,7,0
"""Adults with Client Doesn't Know/Client Prefers Not to Answer information""",0,0,0
"""Adults with Missing Income Information""",0,0,0
"""Number of adult stayers not yet required to have an annual assessment""",0,3,0
"""Number of adult stayers without required annual assessment""",0,1,0
"""Total Adults""",30,27,3
"""1 or More Source of Income""",21,16,3
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,23,3
