, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type" 
"""Homeless Situations"""
"""Place not meant for habitation (e.g., a vehicle, an abandoned building, bus/train/subway station/airport or anywhere outside)""",0,0,0,0,0
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher, Host Home shelter""",0,0,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Subtotal""",0,0,0,0,0
"""Institutional Situations """
"""Foster care home or foster care group home""",0,0,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",0,0,0,0,0
"""Jail, prison, or juvenile detention facility""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Subtotal""",0,0,0,0,0
"""Temporary Situations"""
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Hotel or motel paid for without emergency shelter voucher""",0,0,0,0,0
"""Host Home (non-crisis)""",0,0,0,0,0
"""Staying or living with family, temporary tenure (e.g., room, apartment, or house)""",0,0,0,0,0
"""Staying or living with friends, temporary tenure (e.g., room, apartment, or house)""",0,0,0,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Subtotal""",0,0,0,0,0
"""Permanent Situations"""
"""Staying or living with family, permanent tenure""",0,0,0,0,0
"""Staying or living with friends, permanent tenure""",0,0,0,0,0
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with ongoing housing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",0,0,0,0,0
"""Subtotal""",0,0,0,0,0
"""Other Situations"""
"""No Exit Interview completed""",0,0,0,0,0
"""Other""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Client Doesn't Know/Prefers Not to Answer""",0,0,0,0,0
"""Data Not Collected""",0,0,0,0,0
"""Subtotal""",0,0,0,0,0
"""Total""",0,0,0,0,0
"""Total persons exiting to positive housing destinations""",0,0,0,0,0
"""Total persons exiting to destinations that excluded them from the calculation""",0,0,0,0,0
"""Percentage of persons exiting to positive housing destinations""",0,0,0,0,0
