, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type" 
"""Homeless Situations"""
"""Place not meant for habitation (e.g., a vehicle, an abandoned building, bus/train/subway station/airport or anywhere outside)""",0,0,0,0,0
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher, Host Home shelter					""",0,0,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Subtotal""",0,0,0,0,0
"""Institutional Situations """
"""Foster care home or foster care group home""",0,0,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",0,0,0,0,0
"""Jail, prison, or juvenile detention facility""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Subtotal""",0,0,0,0,0
"""Temporary Situations"""
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Hotel or motel paid for without emergency shelter voucher""",0,0,0,0,0
"""Host Home (non-crisis)""",0,0,0,0,0
"""Staying or living in a friend’s room, apartment, or house""",0,0,0,0,0
"""Staying or living in a family member’s room, apartment, or house""",0,0,0,0,0
"""Subtotal""",0,0,0,0,0
"""Permanent Situations"""
"""Rental by client, no ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with ongoing housing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",0,0,0,0,0
"""Subtotal""",0,0,0,0,0
"""Client Doesn't Know/Prefers Not to Answer""",0,0,0,0,0
"""Data Not Collected""",0,0,0,0,0
"""Subtotal""",0,0,0,0,0
"""Total""",0,0,0,0,0
