 "Number of Youth by Income Category" , "Number of Youth at Start" , "Number of Youth at Annual Assessment (Stayers)" , "Number of Youth at Exit (Leavers)" 
"""Youth with Only Earned Income (i.e., Employment Income)""",0,0,0
"""Youth with Only Other Income""",0,0,0
"""Youth with Both Earned and Other Income""",0,0,0
"""Youth with No Income""",0,0,0
"""Youth with Client Doesn't Know/Prefers Not to Answer Income Information""",0,0,0
"""Youth with Missing Income Information""",0,0,0
"""Number of youth stayers not yet required to have an annual assessment""",0,0,0
"""Number of youth stayers without required annual assessment""",0,0,0
"""Total Youth""",0,0,0
"""1 or More Source of Income""",0,0,0
"""Youth with Income Information at Start and Annual Assessment/Exit""",0,0,0
